,RMSE_train_1,RMSE_test_1,MAE_test_1,num_features_1,feature_list_1,feat_high_import_name_1,feat_high_import_val_1,features_to_remove_1,RMSE_train_2,RMSE_test_2,MAE_test_2,num_features_2,feature_list_2,feat_high_import_name_2,feat_high_import_val_2,features_to_remove_2
0,0.24639,0.41293,0.65737,11,"PassengerId, Pclass, Age, SibSp, Parch, Fare, Sex_female, Sex_male, Embarked_C, Embarked_Q, Embarked_S",Sex_female,0.6,Sex_male,0.23128,0.36394,0.66424,11,"PassengerId, Pclass, Age, SibSp, Parch, Fare, Sex_female, Sex_male, Embarked_C, Embarked_Q, Embarked_S",Sex_female,0.54,Sex_male
1,0.24639,0.41293,0.65737,10,"PassengerId, Pclass, Age, SibSp, Parch, Fare, Sex_female, Embarked_C, Embarked_Q, Embarked_S",Sex_female,0.6,Embarked_S,0.23128,0.36394,0.66424,10,"PassengerId, Pclass, Age, SibSp, Parch, Fare, Sex_female, Embarked_C, Embarked_Q, Embarked_S",Sex_female,0.54,Embarked_S
2,0.22935,0.41193,0.69167,9,"PassengerId, Pclass, Age, SibSp, Parch, Fare, Sex_female, Embarked_C, Embarked_Q",Sex_female,0.59,Parch,0.28258,0.37232,0.67483,9,"PassengerId, Pclass, Age, SibSp, Parch, Fare, Sex_female, Embarked_C, Embarked_Q",Sex_female,0.61,Parch
3,0.30842,0.41724,0.6243,8,"PassengerId, Pclass, Age, SibSp, Fare, Sex_female, Embarked_C, Embarked_Q",Sex_female,0.64,PassengerId,0.27279,0.37493,0.64534,8,"PassengerId, Pclass, Age, SibSp, Fare, Sex_female, Embarked_C, Embarked_Q",Sex_female,0.59,Embarked_C
4,0.26452,0.4073,0.64452,7,"Pclass, Age, SibSp, Fare, Sex_female, Embarked_C, Embarked_Q",Sex_female,0.68,Embarked_Q,0.26017,0.37786,0.70702,7,"PassengerId, Pclass, Age, SibSp, Fare, Sex_female, Embarked_Q",Sex_female,0.62,PassengerId
5,0.26802,0.39651,0.66084,6,"Pclass, Age, SibSp, Fare, Sex_female, Embarked_C",Sex_female,0.63,Embarked_C,0.23784,0.37469,0.67884,6,"Pclass, Age, SibSp, Fare, Sex_female, Embarked_Q",Sex_female,0.64,Embarked_Q
6,0.25735,0.39422,0.65911,5,"Pclass, Age, SibSp, Fare, Sex_female",Sex_female,0.59,Age,0.22033,0.38,0.66285,5,"Pclass, Age, SibSp, Fare, Sex_female",Sex_female,0.64,Age
7,0.30621,0.42621,0.61361,4,"Pclass, SibSp, Fare, Sex_female",Sex_female,0.7,SibSp,0.33486,0.38372,0.58366,4,"Pclass, SibSp, Fare, Sex_female",Sex_female,0.67,SibSp
8,0.30471,0.43261,0.63,3,"Pclass, Fare, Sex_female",Sex_female,0.68,Fare,0.30752,0.38461,0.58366,3,"Pclass, Fare, Sex_female",Sex_female,0.63,Fare
9,0.44788,0.47132,0.49255,2,"Pclass, Sex_female",Sex_female,0.89,Pclass,0.45473,0.41068,0.58366,2,"Pclass, Sex_female",Sex_female,0.89,Pclass
10,0.51365,0.52312,0.5495,1,Sex_female,Sex_female,1.0,Sex_female,0.51633,0.50873,0.58366,1,Sex_female,Sex_female,1.0,Sex_female
